Lat,Long
35.29602754,-120.675666
35.39666261,-120.8587859
35.29816287,-120.6560182
34.96382457,-120.4366146
35.304975,-120.6624786
35.15784153,-120.6686592
34.02836849,-118.4655446
34.95409706,-120.4335658
35.25860773,-120.6613649
34.95419379,-120.4335873
35.64220297,-120.6538553
34.75068543,-120.5217251
35.2981629,-120.6560129
34.95412344,-120.4335658
34.95412344,-120.4335658
35.26355409,-120.696646
34.63116643,-120.4829807
34.47358363,-120.1289464
37.85391564,-121.2660002
35.29818914,-120.6560182
34.43412573,-119.8393071
34.66720351,-120.1172708
37.85383096,-121.2658983
34.95499866,-120.4340822
34.98199359,-120.4328843
35.28240635,-120.6499767
34.95499866,-120.4341036
35.38041376,-120.8574441
35.48015182,-120.6583643
35.47346726,-120.6548309
34.95499866,-120.4340929
35.25693077,-120.6737021
34.42340387,-119.8649203
35.25753869,-120.6769741
34.94590238,-119.6819429
37.85403424,-121.2660431
34.60556587,-120.0970141
35.19327805,-120.7143348
34.95506901,-120.4341573
37.8539665,-121.2658339
35.38104234,-120.8542158
37.85406815,-121.2658554
36.73968975,-119.7843515
36.66760203,-121.6402954
35.29586321,-120.6546033
